# 1:f 2:hp.real 3:hp.imag 4:hx.real 5:hx.imag
-6424.12158055 3.48407780511e-07 -3.57995915009e-07 3.57522193906e-07 3.05639225696e-07
-6374.32218845 4.08016872596e-07 -3.29256740462e-07 2.8278500016e-07 3.20829638439e-07
-6324.52279635 4.4829395155e-07 -4.41045002133e-07 3.14202631186e-07 3.96134955183e-07
-6274.72340426 4.12973133118e-07 -5.49761315491e-07 4.18837215241e-07 4.58764628866e-07
-6224.92401216 3.64409622406e-07 -7.37570428534e-07 6.11738930941e-07 4.05588537674e-07
-6175.12462006 2.1019426361e-07 -8.20760017571e-07 6.81934187379e-07 2.9647775392e-07
-6125.32522796 3.71589617544e-08 -8.34831477297e-07 7.35748948032e-07 1.55601907044e-07
-6075.52583587 -9.51974233592e-08 -8.43630278635e-07 7.2844892816e-07 5.22796740266e-08
-6025.72644377 -2.57512300394e-07 -6.97367810445e-07 7.53313356248e-07 -2.79911162869e-08
-5975.92705167 -2.64904733681e-07 -6.40412634921e-07 6.52720617507e-07 -1.45433171296e-07
-5926.12765957 -2.9296923554e-07 -6.84703924154e-07 6.88302569249e-07 -1.89218258969e-07
-5876.32826748 -3.89412683684e-07 -5.55800685433e-07 5.44241589882e-07 -2.8271800583e-07
-5826.52887538 -4.36734924696e-07 -4.94084107467e-07 4.62023386234e-07 -3.10707821994e-07
-5776.72948328 -3.64042496646e-07 -4.9007691781e-07 4.98115059754e-07 -2.04845790841e-07
-5726.93009119 -4.84140482922e-07 -5.25446552387e-07 5.39087921623e-07 -3.14972279522e-07
-5677.13069909 -6.69247058844e-07 -4.16120086672e-07 4.75908639007e-07 -4.17119800203e-07
-5627.33130699 -6.37914680569e-07 -1.80751524451e-07 3.58459857511e-07 -5.51028477599e-07
-5577.53191489 -5.48611072743e-07 -7.80606818491e-09 1.42882990128e-07 -5.31002462982e-07
-5527.7325228 -3.37469501145e-07 2.18281830757e-08 2.68817238633e-08 -3.47776044354e-07
-5477.9331307 -3.49722672768e-07 -8.36873828733e-08 9.1424981987e-08 -3.34453478084e-07
-5428.1337386 -3.51239512802e-07 9.17160359537e-09 -8.54329131243e-09 -3.18027017749e-07
-5378.3343465 -2.92315544236e-07 9.81838009701e-08 -1.17999306692e-07 -2.30739745264e-07
-5328.53495441 -2.39495958272e-08 1.11336054497e-07 -1.16643336054e-07 8.78967516756e-08
-5278.73556231 1.31005344056e-07 -7.65199374773e-08 1.0256110784e-07 2.11494429201e-07
-5228.93617021 2.26717623748e-07 -2.12292391252e-07 1.97842241732e-07 3.39772776696e-07
-5179.13677812 1.35536634562e-07 -5.18016598929e-07 5.2069353989e-07 2.8327266564e-07
-5129.33738602 -1.25569078561e-08 -6.0902597501e-07 6.52602288067e-07 1.6050203379e-07
-5079.53799392 -2.03583446875e-07 -6.65937343491e-07 7.40286691251e-07 -7.18429100417e-10
-5029.73860182 -4.99702657956e-07 -6.59811544503e-07 8.39929001605e-07 -3.40049701026e-07
-4979.93920973 -3.17461291475e-07 2.18599203635e-07 -4.50916048316e-08 -2.14974223278e-07
-4930.13981763 1.89310187539e-07 1.92510799648e-07 -3.47703821748e-08 2.32301338362e-07
-4880.34042553 6.70305316962e-07 8.63961586858e-08 2.30191480735e-08 7.38936995945e-07
-4830.54103343 1.09078490972e-06 -5.45096139831e-07 7.10257214696e-07 1.09441295002e-06
-4780.74164134 6.6164133293e-07 -1.24284747078e-06 1.30595013013e-06 6.38387346891e-07
-4730.94224924 3.84478789406e-07 -1.18459186849e-06 1.19345174109e-06 4.45409056564e-07
-4681.14285714 2.80482713278e-07 -1.09107903431e-06 1.20287606601e-06 3.90702863559e-07
-4631.34346505 6.55940925634e-08 -1.11831983813e-06 1.16691562603e-06 1.8673388223e-07
-4581.54407295 2.53980236628e-07 -7.47118281767e-07 7.74307970615e-07 4.12930641475e-07
-4531.74468085 1.32235226898e-06 -6.20587537715e-07 7.2259347112e-07 1.51131992839e-06
-4481.94528875 2.01653140235e-06 -2.04715506822e-06 2.2165936804e-06 2.18935933638e-06
-4432.14589666 1.22153598111e-06 -3.10585275366e-06 3.30334994185e-06 1.31022599441e-06
-4382.34650456 8.66140690539e-07 -3.34447280341e-06 3.49071894913e-06 9.71404548014e-07
-4332.54711246 5.62167467892e-07 -3.37807875817e-06 3.48080201696e-06 6.59934759892e-07
-4282.74772036 1.07966514923e-06 -3.87293608533e-06 3.97903214071e-06 1.25722800083e-06
-4232.94832827 8.1950911292e-07 -4.73279196742e-06 4.95063872158e-06 1.07051424975e-06
-4183.14893617 6.5854154411e-07 -6.28669775399e-06 6.55100136295e-06 8.74776570887e-07
-4133.34954407 -8.9936150141e-07 -6.94020832168e-06 7.31790769842e-06 -6.8110356052e-07
-4083.55015198 -2.26835579517e-06 -7.18812226217e-06 7.5430518358e-06 -2.19252954241e-06
-4033.75075988 -2.94608582724e-06 -6.31334454918e-06 6.6360664361e-06 -2.92499306044e-06
-3983.95136778 -2.40464456015e-06 -6.66913406073e-06 6.93473696261e-06 -2.34474540768e-06
-3934.15197568 -2.90472529902e-06 -8.7087291046e-06 9.09306173197e-06 -2.84273078468e-06
-3884.35258359 -5.50776920615e-06 -9.57721214285e-06 9.85779606891e-06 -5.41593365203e-06
-3834.55319149 -7.43758638196e-06 -8.80928476544e-06 9.04484376385e-06 -7.35092659605e-06
-3784.75379939 -7.74678930011e-06 -1.09700472526e-05 1.13450497322e-05 -7.54468712594e-06
-3734.95440729 -1.38557668116e-05 -1.19888406046e-05 1.24763226923e-05 -1.37193372244e-05
-3685.1550152 -2.01796378491e-05 -6.46883382731e-06 6.99645084138e-06 -2.00735327225e-05
-3635.3556231 -2.07202998078e-05 2.08391953527e-06 -1.57002177749e-06 -2.06401599666e-05
-3585.556231 -1.39238110013e-05 7.98311555684e-06 -7.38673931491e-06 -1.3894271644e-05
-3535.75683891 -6.73271366091e-06 7.10146143074e-06 -6.47519215491e-06 -6.7803343898e-06
-3485.95744681 -5.95491242339e-06 -1.13651190578e-06 1.68079674378e-06 -6.18094649946e-06
-3436.15805471 -9.4330016691e-06 -7.37644522387e-07 1.25110853419e-06 -9.54512229505e-06
-3386.35866261 -1.07707089173e-05 -3.06853645477e-06 3.51014387854e-06 -1.10056224094e-05
-3336.55927052 -1.02662934362e-05 -5.47437913613e-06 5.861832696e-06 -1.02499894984e-05
-3286.75987842 -1.84329340121e-05 -1.02485804352e-05 1.07502910524e-05 -1.84109889714e-05
-3236.96048632 -3.15718004417e-05 -5.70645263972e-06 6.39613040203e-06 -3.1480344065e-05
-3187.16109422 -3.69023720578e-05 7.06678212193e-06 -6.1329799778e-06 -3.70220401236e-05
-3137.36170213 -3.67354777653e-05 1.89527544763e-05 -1.79586010751e-05 -3.7030918569e-05
-3087.56231003 -3.11385922945e-05 2.80273465405e-05 -2.70346807906e-05 -3.16357256334e-05
-3037.76291793 -2.78018771597e-05 3.60718165794e-05 -3.55051496647e-05 -2.87924365763e-05
-2987.96352584 -2.78946902255e-05 4.76133280172e-05 -4.73566185374e-05 -2.83652471868e-05
-2938.16413374 -1.11908689714e-05 6.39623514653e-05 -6.41210263551e-05 -1.1642603585e-05
-2888.36474164 3.32942612969e-06 6.62531141913e-05 -6.6266328327e-05 3.50203004223e-06
-2838.56534954 2.29811160215e-05 6.86800137015e-05 -6.84444030847e-05 2.30788297526e-05
-2788.76595745 5.62084472134e-05 5.05167346194e-05 -4.95599185614e-05 5.6380889228e-05
-2738.96656535 3.09402449197e-05 8.75639654636e-06 -7.5675817047e-06 3.12781021147e-05
-2689.16717325 -4.98291657691e-05 3.13096829036e-05 -3.00001194418e-05 -5.07522494283e-05
-2639.36778116 -4.12265534794e-05 0.000185232205062 -0.000185708808199 -4.29933011937e-05
-2589.56838906 0.000128630213017 0.000230024932632 -0.000231853953291 0.000128166108627
-2539.76899696 0.000285889868327 0.000139071027348 -0.00014095262197 0.00028684477264
-2489.96960486 0.000390649554393 -4.39347642303e-05 4.21083378523e-05 0.000392735462731
-2440.17021277 0.000282136429389 -0.00027353641989 0.000274310670842 0.000288211389065
-2390.37082067 -1.77652295484e-06 -0.000347790027335 0.000347960042449 -1.10602953624e-06
